report_date,vintage_date,mm_long,mm_short,mm_net,open_interest,mm_net_pct,mm_net_pct_z52,producer_long,producer_short,producer_net
2019-01-08T00:00:00+0000,2019-01-11T20:30:00+0000,112690,80219,32471,455232,0.07132846548573035,,12969,75020,-62051
2019-01-15T00:00:00+0000,2019-01-18T20:30:00+0000,115651,90716,24935,501605,0.04971042952123683,,43351,103302,-59951
2019-01-22T00:00:00+0000,2019-01-25T20:30:00+0000,105295,89085,16210,513509,0.03156711956362985,,50087,110130,-60043
2019-01-29T00:00:00+0000,2019-02-01T20:30:00+0000,126404,94007,32397,483390,0.067020418295786,,14289,84947,-70658
2019-02-05T00:00:00+0000,2019-02-08T20:30:00+0000,134954,90079,44875,479736,0.09354103090032852,,15593,89160,-73567
2019-02-12T00:00:00+0000,2019-02-15T20:30:00+0000,132365,89746,42619,476083,0.089520104687628,,16566,90733,-74167
2019-02-19T00:00:00+0000,2019-02-22T20:30:00+0000,166411,84034,82377,504639,0.16323946425068217,,15236,103673,-88437
2019-02-26T00:00:00+0000,2019-03-01T20:30:00+0000,154217,75658,78559,501268,0.1567205566682892,,15312,101061,-85749
2019-03-05T00:00:00+0000,2019-03-08T20:30:00+0000,125903,94656,31247,471311,0.06629804948324991,,13920,86101,-72181
2019-03-12T00:00:00+0000,2019-03-15T19:30:00+0000,123293,105886,17407,530030,0.0328415372714752,,27128,87449,-60321
2019-03-19T00:00:00+0000,2019-03-22T19:30:00+0000,123909,93434,30475,514163,0.05927108718441428,,33592,97589,-63997
2019-03-26T00:00:00+0000,2019-03-29T19:30:00+0000,135373,77386,57987,509575,0.11379482902418682,,14704,84053,-69349
2019-04-02T00:00:00+0000,2019-04-05T19:30:00+0000,110816,86198,24618,440170,0.05592839130336007,,16339,74574,-58235
2019-04-09T00:00:00+0000,2019-04-12T19:30:00+0000,117917,80880,37037,447539,0.0827570334652399,,16242,75839,-59597
2019-04-16T00:00:00+0000,2019-04-19T19:30:00+0000,96196,111583,-15387,440581,-0.03492433854387729,,18586,61796,-43210
2019-04-23T00:00:00+0000,2019-04-26T19:30:00+0000,88989,122818,-33829,440048,-0.07687570446860342,,17090,53073,-35983
2019-04-30T00:00:00+0000,2019-05-03T19:30:00+0000,95159,95083,76,430011,0.00017673966479927257,,16898,67873,-50975
2019-05-07T00:00:00+0000,2019-05-10T19:30:00+0000,102975,93428,9547,450039,0.02121371703341266,,19282,67234,-47952
2019-05-14T00:00:00+0000,2019-05-17T19:30:00+0000,138467,85921,52546,517995,0.1014411336016757,,37635,102517,-64882
2019-05-21T00:00:00+0000,2019-05-24T19:30:00+0000,114986,99049,15937,508643,0.03133238833523709,,42131,104863,-62732
2019-05-28T00:00:00+0000,2019-05-31T19:30:00+0000,119314,93040,26274,505126,0.05201474483594192,,47857,110653,-62796
2019-06-04T00:00:00+0000,2019-06-07T19:30:00+0000,159663,63481,96182,481495,0.19975700682250075,,19523,106293,-86770
2019-06-11T00:00:00+0000,2019-06-14T19:30:00+0000,169640,40480,129160,496663,0.26005561114880715,,22226,114842,-92616
2019-06-18T00:00:00+0000,2019-06-21T19:30:00+0000,191766,41250,150516,525636,0.2863502499828779,,22520,124772,-102252
2019-06-25T00:00:00+0000,2019-06-28T19:30:00+0000,204918,27177,177741,577605,0.3077206741631392,,27515,155003,-127488
2019-07-02T00:00:00+0000,2019-07-05T19:30:00+0000,214186,20099,194087,605949,0.320302533711583,2.1984876068972574,26439,169945,-143506
2019-07-09T00:00:00+0000,2019-07-12T19:30:00+0000,208301,25690,182611,598977,0.30487147252732577,1.8669148767291184,23099,172713,-149614
2019-07-16T00:00:00+0000,2019-07-19T19:30:00+0000,211322,31263,180059,601900,0.2991510217644127,1.6840172985152153,36109,173109,-137000
