case_id,section,unite,horodatage_UTC,description,question,image,annotateur,verdict (d_accord/pas_d_accord/incertain),commentaire
EVT-01,3A-evenement-emis,M15,2026-06-10 21:45:00+00:00,BOS bearish niveau 4155.41,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-01.png,,,
EVT-02,3A-evenement-emis,H1,2026-07-23 17:00:00+00:00,CHOCH bearish niveau 4109.15,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-02.png,,,
EVT-03,3A-evenement-emis,H1,2026-07-09 01:00:00+00:00,BOS bearish niveau 4041.55,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-03.png,,,
EVT-04,3A-evenement-emis,H1,2026-07-24 23:00:00+00:00,BOS bullish niveau 4064.73,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-04.png,,,
EVT-05,3A-evenement-emis,H1,2026-06-04 21:00:00+00:00,CHOCH bullish niveau 4496.2,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-05.png,,,
EVT-06,3A-evenement-emis,M15,2026-07-14 12:15:00+00:00,CHOCH bullish niveau 4017.52,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-06.png,,,
EVT-07,3A-evenement-emis,M15,2026-06-12 03:30:00+00:00,BOS bullish niveau 4116.97,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-07.png,,,
EVT-08,3A-evenement-emis,M15,2026-07-16 22:30:00+00:00,CHOCH bearish niveau 4012.55,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-08.png,,,
EVT-09,3A-evenement-emis,M15,2026-06-03 04:30:00+00:00,BOS bearish niveau 4482.64,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-09.png,,,
EVT-10,3A-evenement-emis,H1,2026-06-18 04:00:00+00:00,CHOCH bearish niveau 4320.03,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-10.png,,,
EVT-11,3A-evenement-emis,H1,2026-06-19 09:00:00+00:00,BOS bearish niveau 4202.12,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-11.png,,,
EVT-12,3A-evenement-emis,H1,2026-07-22 10:00:00+00:00,BOS bullish niveau 4086.91,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-12.png,,,
EVT-13,3A-evenement-emis,H1,2026-07-02 22:00:00+00:00,CHOCH bullish niveau 4115.77,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-13.png,,,
EVT-14,3A-evenement-emis,M15,2026-06-26 22:45:00+00:00,CHOCH bullish niveau 4056.47,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-14.png,,,
EVT-15,3A-evenement-emis,M15,2026-07-01 00:00:00+00:00,BOS bullish niveau 4036.94,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-15.png,,,
EVT-16,3A-evenement-emis,M15,2026-06-16 03:30:00+00:00,CHOCH bearish niveau 4325.82,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-16.png,,,
EVT-17,3A-evenement-emis,M15,2026-06-02 22:45:00+00:00,BOS bearish niveau 4516.71,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-17.png,,,
EVT-18,3A-evenement-emis,H1,2026-07-08 18:00:00+00:00,CHOCH bearish niveau 4093.98,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-18.png,,,
EVT-19,3A-evenement-emis,H1,2026-06-01 23:00:00+00:00,BOS bearish niveau 4490.95,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-19.png,,,
EVT-20,3A-evenement-emis,H1,2026-07-18 01:00:00+00:00,BOS bullish niveau 4002.4,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-20.png,,,
EVT-21,3A-evenement-emis,H1,2026-06-02 14:00:00+00:00,CHOCH bullish niveau 4512.23,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-21.png,,,
EVT-22,3A-evenement-emis,M15,2026-06-16 22:45:00+00:00,CHOCH bullish niveau 4349.34,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-22.png,,,
EVT-23,3A-evenement-emis,M15,2026-07-01 18:15:00+00:00,BOS bullish niveau 3979.16,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-23.png,,,
EVT-24,3A-evenement-emis,M15,2026-06-05 22:30:00+00:00,CHOCH bearish niveau 4460.9,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-24.png,,,
EVT-25,3A-evenement-emis,M15,2026-06-03 23:30:00+00:00,BOS bearish niveau 4438.96,Cet événement ÉMIS est-il un vrai BOS/CHOCH ?,EVT-25.png,,,
NON-01,3B-non-evenement,M15,2026-07-08 20:15:00+00:00,franchissement down SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-01.png,,,
NON-02,3B-non-evenement,H1,2026-06-15 21:00:00+00:00,"franchissement up SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-02.png,,,
NON-03,3B-non-evenement,M15,2026-06-06 02:45:00+00:00,"franchissement down SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-03.png,,,
NON-04,3B-non-evenement,M15,2026-07-21 16:45:00+00:00,franchissement up SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-04.png,,,
NON-05,3B-non-evenement,M15,2026-06-05 13:00:00+00:00,franchissement down SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-05.png,,,
NON-06,3B-non-evenement,M15,2026-06-03 20:15:00+00:00,"franchissement up SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-06.png,,,
NON-07,3B-non-evenement,M15,2026-06-23 13:30:00+00:00,"franchissement down SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-07.png,,,
NON-08,3B-non-evenement,M15,2026-06-08 22:45:00+00:00,franchissement up SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-08.png,,,
NON-09,3B-non-evenement,M15,2026-06-27 04:15:00+00:00,franchissement down SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-09.png,,,
NON-10,3B-non-evenement,M15,2026-07-09 23:45:00+00:00,"franchissement up SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-10.png,,,
NON-11,3B-non-evenement,M15,2026-06-01 13:45:00+00:00,"franchissement down SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-11.png,,,
NON-12,3B-non-evenement,M15,2026-07-18 01:30:00+00:00,franchissement up SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-12.png,,,
NON-13,3B-non-evenement,H1,2026-06-11 07:00:00+00:00,franchissement down SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-13.png,,,
NON-14,3B-non-evenement,M15,2026-07-22 04:15:00+00:00,"franchissement up SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-14.png,,,
NON-15,3B-non-evenement,M15,2026-06-08 08:00:00+00:00,"franchissement down SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-15.png,,,
NON-16,3B-non-evenement,H1,2026-07-22 12:00:00+00:00,franchissement up SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-16.png,,,
NON-17,3B-non-evenement,H1,2026-06-06 02:00:00+00:00,franchissement down SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-17.png,,,
