signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,r_multiple,initial_risk
672ea2c9-2bf,LONG,2019-01-04 00:15:00,2019-01-04 04:00:00,1295.02,1294.97,1292.84,1299.39,41.78583517957096,time_expired,15,-0.05,-0.023,2.18
683f9301-3c2,SHORT,2019-01-04 10:00:00,2019-01-04 12:45:00,1290.88,1291.09,1293.37,1285.9,49.11370500718863,time_expired,11,-0.21,-0.084,2.49
faf776cb-4c0,SHORT,2019-01-09 03:30:00,2019-01-09 08:15:00,1284.02,1282.85,1285.76,1280.55,38.03451371403159,time_expired,19,1.17,0.672,1.74
da1d998d-45b,LONG,2019-01-09 23:00:00,2019-01-10 02:45:00,1292.95,1294.64,1290.03,1298.8,41.28820603664103,time_expired,15,1.69,0.579,2.92
b21dad96-634,LONG,2019-01-10 07:45:00,2019-01-10 09:15:00,1295.36,1293.14,1293.14,1299.79,50.08896023293911,invalidated,6,-2.22,-1.0,2.22
55a78eef-955,LONG,2019-01-11 05:30:00,2019-01-11 06:30:00,1294.23,1292.1,1292.1,1298.49,36.25788746835189,invalidated,4,-2.13,-1.0,2.13
111c04d2-c79,LONG,2019-01-11 07:30:00,2019-01-11 08:15:00,1293.4,1292.61,1291.17,1297.85,41.60868827697104,score_decayed,3,-0.79,-0.354,2.23
3c4802a3-45c,SHORT,2019-01-11 20:15:00,2019-01-14 00:00:00,1287.4,1288.28,1289.34,1283.52,38.46283775626776,time_expired,207,-0.88,-0.454,1.94
3ab9c657-220,SHORT,2019-01-14 15:45:00,2019-01-14 18:30:00,1290.39,1291.14,1293.06,1285.05,35.31779440453082,time_expired,11,-0.75,-0.281,2.67
756a3666-3d3,SHORT,2019-01-14 20:15:00,2019-01-15 01:00:00,1291.35,1291.14,1293.1,1287.85,38.56351599704873,score_decayed,19,0.21,0.12,1.75
9ec4dfa6-88f,SHORT,2019-01-18 13:30:00,2019-01-18 16:15:00,1282.98,1282.31,1285.71,1277.51,39.599739492996896,time_expired,11,0.67,0.245,2.73
26884e48-ce9,SHORT,2019-01-18 17:15:00,2019-01-18 21:00:00,1282.92,1280.74,1285.48,1277.8,39.32226802811856,time_expired,15,2.18,0.852,2.56
b2ca78c0-865,SHORT,2019-01-21 12:30:00,2019-01-21 13:45:00,1277.2,1278.97,1278.97,1273.66,41.53238962953211,invalidated,5,-1.77,-1.0,1.77
7080b75c-2ba,LONG,2019-01-21 14:45:00,2019-01-22 03:00:00,1279.76,1277.81,1277.81,1283.66,36.12569525935012,invalidated,49,-1.95,-1.0,1.95
b61b73a4-22a,LONG,2019-01-22 07:45:00,2019-01-22 08:15:00,1281.17,1283.17,1279.1,1285.32,41.60020252831316,score_decayed,2,2.0,0.966,2.07
acbba126-8b0,SHORT,2019-01-24 09:00:00,2019-01-24 12:45:00,1279.36,1279.1,1280.98,1276.12,38.62587819112392,time_expired,15,0.26,0.16,1.62
b3b58d90-c8a,LONG,2019-01-25 16:45:00,2019-01-25 18:00:00,1298.93,1297.93,1295.91,1304.97,41.42857142857143,regime_shifted,5,-1.0,-0.331,3.02
8dfe9c27-b84,LONG,2019-01-27 23:15:00,2019-01-28 05:00:00,1301.07,1303.37,1298.37,1306.48,40.11290517497395,time_expired,23,2.3,0.852,2.7
08c70bd7-03e,LONG,2019-01-28 06:00:00,2019-01-28 08:45:00,1301.91,1300.41,1299.64,1306.44,39.21618760795751,time_expired,11,-1.5,-0.661,2.27
8d06174b-23d,LONG,2019-01-30 06:45:00,2019-01-30 09:30:00,1314.38,1313.34,1312.6,1317.95,41.42232534164893,time_expired,11,-1.04,-0.584,1.78
d3d28b77-6f9,LONG,2019-01-30 23:00:00,2019-01-30 23:15:00,1320.26,1319.95,1316.15,1328.48,45.59716859560818,regime_shifted,1,-0.31,-0.075,4.11
ea2605e7-fc0,SHORT,2019-02-01 02:15:00,2019-02-01 07:00:00,1318.1,1317.92,1320.15,1314.0,41.87122592708837,time_expired,19,0.18,0.088,2.05
3c6a7e06-dfc,LONG,2019-02-05 01:15:00,2019-02-05 05:00:00,1312.68,1314.85,1311.26,1315.52,38.3888958883614,time_expired,15,2.17,1.528,1.42
a88f48e1-bfd,SHORT,2019-02-07 05:00:00,2019-02-07 06:15:00,1303.42,1304.47,1305.05,1300.16,39.92857142857143,opposing_signal,5,-1.05,-0.644,1.63
5b18d0b8-1c2,LONG,2019-02-07 13:00:00,2019-02-07 13:30:00,1310.05,1307.96,1307.96,1314.22,49.285714285714285,invalidated,2,-2.09,-1.0,2.09
4ebfd66e-89a,LONG,2019-02-07 23:30:00,2019-02-08 02:15:00,1310.77,1309.1,1309.1,1314.12,35.729340557755606,invalidated,11,-1.67,-1.0,1.67
509f5f58-6c6,LONG,2019-02-08 14:00:00,2019-02-08 14:30:00,1313.67,1312.07,1312.07,1316.88,38.4002542660146,invalidated,2,-1.6,-1.0,1.6
988d5e4d-6f4,LONG,2019-02-08 18:15:00,2019-02-10 23:00:00,1314.45,1313.6,1312.65,1318.04,39.1245672740588,time_expired,211,-0.85,-0.472,1.8
eaab1efa-cd6,SHORT,2019-02-11 18:15:00,2019-02-11 21:00:00,1308.27,1308.13,1310.69,1303.42,36.15691518295222,time_expired,11,0.14,0.058,2.42
06db6aae-07a,LONG,2019-02-12 13:15:00,2019-02-12 13:45:00,1312.8,1311.78,1310.52,1317.36,41.49635320089818,score_decayed,2,-1.02,-0.447,2.28
9f5f2b49-669,SHORT,2019-02-12 15:15:00,2019-02-12 18:00:00,1309.1,1311.54,1311.54,1304.22,37.99575895684685,invalidated,11,-2.44,-1.0,2.44
2bb45152-e36,SHORT,2019-02-13 00:15:00,2019-02-13 02:00:00,1309.78,1311.97,1311.97,1305.4,36.241699539140214,invalidated,7,-2.19,-1.0,2.19
