id,ts_in,ts_out,side,entry,sl,tp,exit_price,exit_reason,lots,pnl_usd,r_realized,score_in,bars_held,regime,session,c_bos,c_choch,c_ob,c_fvg,c_retest,c_rsi_div,c_regime,c_news_ok
1,2019-01-02 18:45:00,2019-01-03 01:30:00,-1,1284.86,1308.74,1245.06,1286.43,opposite,0.04,-6.57,-0.066,75.0,23,range,ny,0,1,1,1,1,1,0,1
2,2019-01-07 08:15:00,2019-01-08 01:15:00,1,1290.93,1279.44,1310.07,1289.12,timeout,0.09,-16.88,-0.157,87.5,64,bull,london,1,1,1,1,1,0,1,1
3,2019-01-08 04:30:00,2019-01-08 20:30:00,-1,1285.97,1298.04,1265.85,1285.88,timeout,0.08,0.18,0.008,87.5,64,bear,asia,1,0,1,1,1,1,1,1
4,2019-01-09 04:15:00,2019-01-09 05:45:00,1,1284.79,1274.85,1301.35,1282.87,opposite,0.1,-19.85,-0.193,75.0,6,range,asia,1,0,1,1,1,1,0,1
5,2019-01-10 11:00:00,2019-01-11 04:00:00,-1,1293.1,1307.62,1268.9,1290.34,timeout,0.07,18.85,0.19,75.0,64,bull,london,1,0,1,1,1,1,0,1
6,2019-01-11 16:45:00,2019-01-14 04:15:00,-1,1288.2,1307.97,1255.25,1292.39,opposite,0.05,-21.3,-0.212,75.0,42,range,ny,1,1,1,1,1,0,0,1
7,2019-01-15 01:15:00,2019-01-15 11:00:00,1,1292.44,1285.38,1304.22,1287.83,opposite,0.14,-65.61,-0.654,75.0,39,bull,asia,1,0,1,1,1,0,1,1
8,2019-01-15 15:15:00,2019-01-15 17:30:00,-1,1287.99,1300.23,1267.57,1292.33,opposite,0.08,-35.34,-0.355,75.0,9,bear,ny,0,0,1,1,1,1,1,1
9,2019-01-16 05:30:00,2019-01-16 08:30:00,-1,1288.42,1297.5,1273.3,1291.4,opposite,0.11,-33.46,-0.328,75.0,12,range,asia,1,1,1,1,1,0,0,1
10,2019-01-16 11:30:00,2019-01-17 04:30:00,1,1290.07,1278.69,1309.04,1293.29,timeout,0.09,28.3,0.282,75.0,64,bear,london,0,1,1,1,1,1,0,1
11,2019-01-17 10:30:00,2019-01-17 16:00:00,1,1294.66,1283.97,1312.47,1289.8,opposite,0.09,-44.29,-0.454,87.5,22,bull,london,1,1,1,1,1,0,1,1
12,2019-01-21 16:15:00,2019-01-22 07:45:00,1,1279.82,1268.21,1299.16,1278.79,opposite,0.08,-8.77,-0.088,75.0,42,bear,ny,1,0,1,1,1,1,0,1
13,2019-01-22 10:00:00,2019-01-22 18:15:00,1,1283.68,1268.85,1308.39,1280.86,opposite,0.07,-20.21,-0.19,75.0,33,range,london,1,1,1,1,1,0,0,1
14,2019-01-23 11:15:00,2019-01-24 04:15:00,1,1285.81,1276.5,1301.32,1282.74,timeout,0.11,-34.55,-0.33,75.0,64,bull,london,1,0,1,1,1,0,1,1
15,2019-01-25 03:45:00,2019-01-25 16:00:00,-1,1279.66,1289.62,1263.07,1289.94,sl,0.1,-103.47,-1.032,87.5,49,bear,asia,1,1,1,0,1,1,1,1
16,2019-01-28 17:00:00,2019-01-29 04:00:00,1,1303.94,1286.64,1332.79,1303.33,opposite,0.06,-4.09,-0.035,75.0,40,bull,ny,1,1,0,1,0,1,1,1
17,2019-01-29 08:15:00,2019-01-30 01:15:00,1,1305.85,1296.09,1322.13,1310.34,timeout,0.1,44.2,0.46,75.0,64,bull,london,1,0,1,1,0,1,1,1
18,2019-01-30 15:45:00,2019-01-30 21:30:00,-1,1310.94,1323.87,1289.4,1322.87,opposite,0.07,-83.97,-0.923,75.0,23,bull,ny,1,1,1,1,1,0,0,1
19,2019-01-31 08:00:00,2019-02-01 01:00:00,1,1319.02,1309.01,1335.71,1320.19,timeout,0.1,10.99,0.117,75.0,64,bull,london,1,0,1,1,1,0,1,1
20,2019-02-01 10:15:00,2019-02-04 03:15:00,-1,1318.26,1328.66,1300.93,1315.1,timeout,0.09,27.81,0.304,75.0,64,bull,london,1,0,1,1,1,1,0,1
21,2019-02-04 10:45:00,2019-02-05 03:45:00,-1,1311.68,1323.0,1292.8,1313.12,timeout,0.09,-13.65,-0.128,87.5,64,bear,london,1,0,1,1,1,1,1,1
22,2019-02-05 16:00:00,2019-02-06 09:00:00,1,1315.28,1306.7,1329.58,1313.36,timeout,0.11,-21.9,-0.224,75.0,64,range,ny,1,1,1,1,1,0,0,1
23,2019-02-06 13:30:00,2019-02-07 06:30:00,-1,1312.09,1320.18,1298.61,1303.32,timeout,0.12,104.36,1.084,75.0,64,range,ny,1,1,1,1,1,0,0,1
24,2019-02-08 08:00:00,2019-02-11 01:00:00,-1,1309.02,1317.0,1295.72,1313.94,timeout,0.12,-59.85,-0.616,87.5,64,bear,london,1,1,1,1,1,0,1,1
25,2019-02-12 15:00:00,2019-02-13 02:00:00,1,1314.88,1307.38,1327.38,1309.57,opposite,0.13,-69.97,-0.708,75.0,40,bull,ny,1,0,1,1,1,0,1,1
26,2019-02-13 18:00:00,2019-02-13 21:45:00,1,1313.72,1305.56,1327.32,1305.31,sl,0.12,-101.78,-1.031,87.5,15,bull,ny,1,1,1,1,1,0,1,1
27,2019-02-14 11:15:00,2019-02-14 16:30:00,-1,1306.03,1314.39,1292.1,1311.84,opposite,0.11,-64.63,-0.694,87.5,21,bear,london,1,0,1,1,1,1,1,1
28,2019-02-15 09:15:00,2019-02-18 02:15:00,1,1314.25,1303.94,1331.43,1321.42,timeout,0.09,63.91,0.696,75.0,64,bull,london,1,0,1,1,1,0,1,1
29,2019-02-19 07:45:00,2019-02-19 10:15:00,-1,1323.72,1330.86,1311.83,1328.95,opposite,0.13,-68.81,-0.732,75.0,10,bull,london,1,1,1,1,1,0,0,1
30,2019-02-19 13:30:00,2019-02-19 20:15:00,1,1329.09,1321.54,1341.69,1341.42,tp,0.12,147.13,1.632,87.5,27,bull,ny,1,1,1,1,1,0,1,1
31,2019-02-20 03:45:00,2019-02-20 19:45:00,1,1344.92,1336.2,1359.45,1344.83,timeout,0.11,-1.69,-0.01,75.0,64,bull,asia,1,0,1,1,1,0,1,1
32,2019-02-21 04:15:00,2019-02-21 20:15:00,-1,1338.14,1347.37,1322.77,1325.93,timeout,0.1,121.47,1.325,75.0,64,bull,asia,1,0,1,1,1,1,0,1
33,2019-02-25 10:00:00,2019-02-26 03:00:00,-1,1329.37,1338.51,1314.12,1327.81,timeout,0.11,16.4,0.171,75.0,64,range,london,1,0,1,1,1,1,0,1
34,2019-02-26 10:15:00,2019-02-26 21:45:00,-1,1324.57,1332.8,1310.87,1329.55,opposite,0.12,-60.56,-0.605,75.0,46,range,london,1,1,1,1,1,0,0,1
35,2019-02-27 03:30:00,2019-02-27 20:45:00,-1,1327.77,1336.02,1314.01,1319.64,timeout,0.12,96.64,0.984,87.5,64,bear,asia,1,0,1,1,1,1,1,1
36,2019-02-28 04:00:00,2019-02-28 13:15:00,-1,1318.27,1326.6,1304.38,1326.89,sl,0.12,-104.29,-1.035,75.0,37,bear,asia,1,0,1,1,1,0,1,1
37,2019-03-01 04:30:00,2019-03-01 20:00:00,-1,1312.19,1320.9,1297.69,1297.96,tp,0.11,155.81,1.635,87.5,62,bear,asia,1,0,1,1,1,1,1,1
38,2019-03-05 03:00:00,2019-03-05 16:30:00,-1,1286.29,1295.93,1270.23,1285.58,opposite,0.1,6.46,0.074,75.0,54,bear,asia,1,0,1,1,1,0,1,1
39,2019-03-05 18:30:00,2019-03-05 23:15:00,-1,1283.17,1291.79,1268.8,1288.25,opposite,0.11,-56.6,-0.589,75.0,19,bear,ny,1,0,1,1,1,0,1,1
40,2019-03-06 03:15:00,2019-03-06 05:15:00,1,1287.62,1279.14,1301.74,1286.97,opposite,0.11,-7.86,-0.076,75.0,8,bear,asia,1,0,1,1,1,1,0,1
41,2019-03-06 11:45:00,2019-03-07 04:30:00,-1,1285.62,1294.2,1271.33,1287.24,opposite,0.11,-18.56,-0.189,75.0,63,bear,london,1,0,1,1,1,0,1,1
42,2019-03-07 08:15:00,2019-03-07 15:15:00,-1,1284.16,1292.2,1270.76,1285.55,opposite,0.12,-17.5,-0.173,87.5,28,bear,london,1,1,1,1,1,0,1,1
43,2019-03-08 03:30:00,2019-03-08 16:00:00,1,1286.83,1278.54,1300.65,1300.39,tp,0.12,161.88,1.635,75.0,50,bull,asia,1,1,1,0,1,0,1,1
44,2019-03-08 18:00:00,2019-03-11 11:00:00,1,1298.45,1289.09,1314.06,1296.13,timeout,0.11,-26.27,-0.248,75.0,64,bull,ny,1,0,1,1,1,0,1,1
45,2019-03-11 14:00:00,2019-03-12 08:00:00,-1,1294.64,1303.61,1279.69,1296.86,timeout,0.11,-25.15,-0.247,75.0,64,bull,ny,1,1,1,1,1,0,0,1
46,2019-03-12 12:15:00,2019-03-13 06:15:00,1,1296.87,1289.41,1309.28,1304.41,timeout,0.13,97.18,1.013,75.0,64,bull,london,1,0,1,1,1,0,1,1
47,2019-03-15 06:30:00,2019-03-15 22:30:00,1,1298.25,1289.48,1312.87,1301.86,timeout,0.11,38.91,0.411,75.0,64,bear,asia,1,1,1,1,1,0,0,1
48,2019-03-18 09:30:00,2019-03-19 03:30:00,1,1304.22,1296.33,1317.36,1305.24,timeout,0.13,12.31,0.129,87.5,64,range,london,1,1,1,1,1,1,0,1
49,2019-03-19 13:30:00,2019-03-20 07:30:00,1,1308.49,1301.33,1320.41,1305.02,timeout,0.14,-49.49,-0.484,75.0,64,bull,ny,1,0,1,1,1,0,1,1
50,2019-03-20 20:45:00,2019-03-21 14:45:00,1,1314.64,1301.41,1336.7,1317.4,timeout,0.07,18.84,0.209,75.0,64,range,ny,1,1,1,1,1,0,0,1
51,2019-03-22 11:30:00,2019-03-25 05:30:00,1,1313.77,1302.73,1332.17,1314.99,timeout,0.09,10.34,0.11,87.5,64,bull,london,1,1,1,1,1,0,1,1
52,2019-03-25 09:45:00,2019-03-26 03:45:00,1,1317.27,1307.3,1333.87,1321.22,timeout,0.1,38.86,0.397,75.0,64,bull,london,1,0,1,1,1,0,1,1
53,2019-03-27 02:45:00,2019-03-27 10:15:00,1,1317.59,1307.92,1333.7,1314.23,opposite,0.1,-34.3,-0.347,87.5,30,bull,asia,1,1,1,1,1,0,1,1
54,2019-03-27 15:30:00,2019-03-28 09:30:00,-1,1311.27,1321.67,1293.92,1311.25,timeout,0.1,-0.52,0.002,75.0,64,range,ny,1,1,1,1,1,0,0,1
55,2019-03-28 18:00:00,2019-03-29 12:00:00,-1,1289.9,1301.28,1270.94,1290.94,timeout,0.09,-9.99,-0.091,75.0,64,bear,ny,1,0,1,1,1,0,1,1
56,2019-04-01 09:15:00,2019-04-02 02:15:00,-1,1289.8,1299.24,1274.09,1287.68,timeout,0.11,22.6,0.225,75.0,64,bear,london,1,1,0,1,0,1,1,1
57,2019-04-02 09:00:00,2019-04-03 02:00:00,1,1289.66,1280.19,1305.44,1291.5,timeout,0.1,17.71,0.195,75.0,64,bear,london,1,0,1,1,1,1,0,1
58,2019-04-03 04:45:00,2019-04-03 17:00:00,1,1293.29,1284.83,1307.38,1289.08,opposite,0.12,-51.28,-0.497,75.0,49,range,asia,1,0,1,1,1,1,0,1
59,2019-04-03 22:45:00,2019-04-04 03:30:00,-1,1289.64,1297.64,1276.32,1292.37,opposite,0.12,-33.57,-0.341,75.0,15,bear,off,1,0,1,1,1,0,1,1
60,2019-04-04 06:30:00,2019-04-04 15:30:00,1,1292.38,1284.49,1305.54,1284.17,sl,0.12,-99.34,-1.04,75.0,36,bull,asia,0,1,1,1,1,0,1,1
61,2019-04-05 09:30:00,2019-04-08 02:30:00,-1,1287.77,1296.65,1272.97,1292.2,timeout,0.11,-49.54,-0.499,87.5,64,bear,london,1,1,1,1,1,0,1,1
62,2019-04-08 09:45:00,2019-04-09 02:45:00,1,1297.28,1286.06,1315.98,1297.64,timeout,0.09,2.61,0.032,75.0,64,bull,london,1,0,1,1,1,0,1,1
63,2019-04-09 11:45:00,2019-04-10 04:45:00,1,1301.56,1293.65,1314.75,1302.21,timeout,0.12,6.92,0.082,87.5,64,bull,london,1,0,1,1,1,1,1,1
64,2019-04-10 17:15:00,2019-04-10 17:30:00,1,1307.08,1299.38,1319.93,1305.6,opposite,0.13,-20.25,-0.193,75.0,1,bull,ny,1,1,0,1,0,1,1,1
65,2019-04-12 15:00:00,2019-04-15 03:45:00,1,1293.89,1284.74,1309.14,1289.92,opposite,0.11,-44.43,-0.434,75.0,47,bear,ny,1,1,1,0,1,1,0,1
66,2019-04-16 04:00:00,2019-04-16 12:00:00,-1,1286.23,1294.74,1272.06,1283.71,opposite,0.11,26.95,0.296,100.0,32,bear,asia,1,1,1,1,1,1,1,1
67,2019-04-17 09:45:00,2019-04-18 02:45:00,1,1278.82,1269.82,1293.81,1273.83,timeout,0.11,-55.69,-0.555,75.0,64,bear,london,1,1,1,1,1,0,0,1
68,2019-04-18 10:00:00,2019-04-22 03:00:00,-1,1272.35,1279.78,1259.97,1277.2,timeout,0.13,-63.98,-0.653,75.0,64,bear,london,1,0,1,1,1,0,1,1
69,2019-04-22 14:45:00,2019-04-23 04:00:00,1,1278.56,1271.26,1290.72,1275.37,opposite,0.13,-42.3,-0.436,75.0,49,bull,ny,1,0,1,0,1,1,1,1
70,2019-04-23 15:45:00,2019-04-24 08:45:00,-1,1267.29,1275.41,1253.76,1270.05,timeout,0.12,-33.92,-0.339,75.0,64,bear,ny,1,0,1,1,1,0,1,1
71,2019-04-25 10:00:00,2019-04-26 03:00:00,1,1278.21,1270.04,1291.83,1277.78,timeout,0.12,-5.97,-0.052,75.0,64,bull,london,1,0,1,1,1,0,1,1
72,2019-04-29 15:45:00,2019-04-30 08:45:00,-1,1281.21,1289.25,1267.8,1283.23,timeout,0.12,-25.09,-0.251,75.0,64,range,ny,1,0,1,1,1,1,0,1
73,2019-04-30 18:15:00,2019-05-01 11:15:00,-1,1283.41,1290.91,1270.91,1281.15,timeout,0.13,28.55,0.302,75.0,64,bull,ny,1,1,1,1,1,0,0,1
74,2019-05-01 17:00:00,2019-05-01 21:30:00,1,1284.44,1276.43,1297.81,1276.12,sl,0.12,-100.68,-1.038,75.0,18,range,ny,1,1,1,0,1,1,0,1
75,2019-05-03 08:00:00,2019-05-06 01:00:00,1,1272.46,1264.13,1286.36,1283.55,timeout,0.11,121.15,1.329,75.0,64,bear,london,1,1,1,1,1,0,0,1
76,2019-05-07 03:45:00,2019-05-07 19:45:00,1,1283.22,1274.56,1297.65,1283.78,timeout,0.11,5.37,0.064,87.5,64,bull,asia,1,1,1,1,1,0,1,1
77,2019-05-08 04:15:00,2019-05-08 20:15:00,1,1286.29,1277.72,1300.59,1280.23,timeout,0.11,-67.42,-0.707,75.0,64,bull,asia,1,0,1,1,1,0,1,1
78,2019-05-09 06:30:00,2019-05-09 10:00:00,-1,1280.63,1289.01,1266.66,1283.66,opposite,0.11,-34.08,-0.361,75.0,14,bear,asia,1,0,1,1,1,0,1,1
79,2019-05-09 16:45:00,2019-05-10 09:45:00,1,1286.26,1277.55,1300.78,1283.7,timeout,0.11,-28.86,-0.293,75.0,64,bull,ny,1,1,0,1,0,1,1,1
80,2019-05-14 03:45:00,2019-05-14 14:30:00,1,1301.23,1291.81,1316.94,1297.09,opposite,0.1,-42.1,-0.439,75.0,43,bull,asia,1,0,1,1,1,0,1,1
81,2019-05-14 16:30:00,2019-05-14 18:15:00,1,1298.53,1288.95,1314.49,1295.12,opposite,0.1,-34.82,-0.356,87.5,7,bull,ny,1,1,1,1,1,0,1,1
82,2019-05-15 04:00:00,2019-05-15 20:00:00,1,1297.99,1290.16,1311.04,1297.28,timeout,0.12,-9.44,-0.092,75.0,64,bull,asia,1,1,1,0,1,0,1,1
83,2019-05-16 10:00:00,2019-05-16 12:00:00,1,1297.9,1290.46,1310.29,1294.72,opposite,0.13,-42.15,-0.427,75.0,8,range,london,1,1,1,1,1,0,0,1
84,2019-05-16 15:45:00,2019-05-17 08:45:00,-1,1290.6,1298.62,1277.23,1288.07,timeout,0.12,29.47,0.315,75.0,64,bear,ny,1,1,1,1,0,0,1,1
85,2019-05-20 06:30:00,2019-05-20 22:30:00,-1,1277.14,1285.18,1263.74,1278.25,timeout,0.12,-14.12,-0.138,75.0,64,bear,asia,1,0,1,1,1,0,1,1
86,2019-05-21 10:00:00,2019-05-22 03:00:00,-1,1275.35,1282.58,1263.31,1275.3,timeout,0.13,-0.27,0.007,75.0,64,bear,london,1,0,1,1,1,0,1,1
87,2019-05-22 05:00:00,2019-05-22 17:15:00,-1,1273.37,1280.25,1261.92,1274.52,opposite,0.13,-15.85,-0.167,75.0,49,bear,asia,1,0,1,1,1,0,1,1
88,2019-05-23 10:00:00,2019-05-23 17:45:00,1,1275.0,1268.73,1285.44,1285.18,tp,0.15,151.77,1.626,75.0,31,range,london,1,1,1,1,1,0,0,1
89,2019-05-24 09:45:00,2019-05-27 02:45:00,1,1283.39,1275.08,1297.24,1284.31,timeout,0.11,9.32,0.11,75.0,64,bull,london,1,0,1,0,1,1,1,1
90,2019-05-28 03:30:00,2019-05-28 15:15:00,1,1285.15,1279.31,1294.88,1278.99,sl,0.16,-99.74,-1.056,87.5,47,bull,asia,1,0,1,1,1,1,1,1
91,2019-05-29 05:00:00,2019-05-29 16:30:00,1,1280.04,1272.47,1292.65,1281.64,opposite,0.12,18.38,0.212,75.0,46,bear,asia,1,0,1,1,1,1,0,1
92,2019-05-29 20:00:00,2019-05-30 13:00:00,-1,1280.62,1287.92,1268.45,1276.78,timeout,0.13,48.96,0.526,75.0,64,bear,ny,1,1,1,0,1,0,1,1
93,2019-05-31 08:30:00,2019-06-03 01:00:00,1,1292.92,1284.49,1306.96,1306.64,tp,0.11,150.19,1.629,75.0,62,bull,london,1,0,1,1,1,0,1,1
94,2019-06-03 10:00:00,2019-06-03 10:15:00,1,1313.6,1303.25,1330.84,1313.26,opposite,0.09,-3.66,-0.033,87.5,1,bull,london,1,0,1,1,1,1,1,1
95,2019-06-04 16:00:00,2019-06-04 23:15:00,-1,1320.69,1331.06,1303.39,1325.52,opposite,0.09,-44.11,-0.466,75.0,29,bull,ny,1,1,1,1,1,0,0,1
96,2019-06-05 16:00:00,2019-06-05 18:00:00,1,1342.4,1329.47,1363.96,1329.19,sl,0.07,-92.95,-1.021,75.0,8,bull,ny,1,0,1,1,1,0,1,1
97,2019-06-06 09:30:00,2019-06-06 17:00:00,1,1332.53,1318.69,1355.6,1336.86,opposite,0.07,29.78,0.312,87.5,30,bull,london,1,1,1,1,1,0,1,1
98,2019-06-07 05:00:00,2019-06-07 15:30:00,-1,1332.94,1343.3,1315.69,1343.57,sl,0.09,-96.24,-1.026,75.0,42,bull,asia,1,1,1,1,1,0,0,1
99,2019-06-10 01:45:00,2019-06-10 17:45:00,-1,1334.3,1347.75,1311.88,1329.51,timeout,0.07,33.06,0.356,75.0,64,range,asia,1,1,1,1,1,0,0,1
100,2019-06-11 07:00:00,2019-06-11 16:15:00,-1,1328.35,1338.0,1312.26,1324.34,opposite,0.1,39.39,0.415,75.0,37,bear,london,1,1,1,0,1,0,1,1
101,2019-06-12 10:00:00,2019-06-13 03:00:00,1,1335.48,1325.69,1351.78,1333.85,timeout,0.1,-16.95,-0.166,75.0,64,bull,london,1,0,1,1,1,0,1,1
102,2019-06-13 06:00:00,2019-06-13 22:00:00,1,1336.14,1325.83,1353.33,1340.92,timeout,0.09,42.35,0.463,75.0,64,bull,asia,1,1,1,1,0,0,1,1
103,2019-06-14 01:45:00,2019-06-14 17:45:00,1,1343.9,1334.72,1359.2,1348.23,timeout,0.1,42.56,0.471,75.0,64,bull,asia,1,0,1,1,1,0,1,1
104,2019-06-18 04:30:00,2019-06-18 17:30:00,1,1340.85,1331.08,1357.15,1341.68,opposite,0.1,7.59,0.085,75.0,52,bear,asia,1,0,1,1,1,1,0,1
105,2019-06-19 05:45:00,2019-06-19 10:15:00,-1,1343.94,1357.43,1321.45,1344.08,opposite,0.07,-1.49,-0.011,75.0,18,bull,asia,1,1,1,1,1,0,0,1
106,2019-06-19 20:30:00,2019-06-19 23:15:00,1,1345.79,1336.11,1361.91,1361.61,tp,0.1,157.46,1.635,75.0,11,bull,ny,1,1,1,0,1,0,1,1
107,2019-06-20 09:45:00,2019-06-21 02:45:00,1,1383.09,1365.06,1413.15,1390.45,timeout,0.05,36.45,0.408,75.0,64,bull,london,1,0,1,1,1,0,1,1
108,2019-06-21 11:30:00,2019-06-24 01:30:00,-1,1388.53,1407.93,1356.19,1408.26,sl,0.05,-98.98,-1.017,75.0,52,bull,london,1,1,1,1,1,0,0,1
109,2019-06-24 19:00:00,2019-06-25 12:00:00,1,1414.82,1397.39,1443.88,1430.04,timeout,0.05,75.72,0.873,75.0,64,bull,ny,1,0,1,1,1,0,1,1
110,2019-06-25 17:00:00,2019-06-25 20:15:00,1,1434.29,1413.9,1468.29,1413.61,sl,0.05,-103.78,-1.014,87.5,13,bull,ny,1,0,1,1,1,1,1,1
111,2019-06-27 01:30:00,2019-06-27 17:30:00,-1,1407.88,1426.56,1376.75,1405.17,timeout,0.05,13.21,0.145,87.5,64,bear,asia,1,1,1,1,1,0,1,1
112,2019-06-28 17:00:00,2019-07-01 09:45:00,-1,1410.94,1427.85,1382.77,1383.11,tp,0.06,166.57,1.646,75.0,63,bull,ny,1,1,1,1,1,0,0,1
113,2019-07-02 09:00:00,2019-07-02 23:30:00,1,1391.71,1374.82,1419.85,1419.51,tp,0.06,166.4,1.646,75.0,58,bear,london,1,1,1,1,1,0,0,1
114,2019-07-03 16:15:00,2019-07-04 01:15:00,-1,1415.48,1438.54,1377.03,1417.36,opposite,0.04,-7.79,-0.081,75.0,32,bull,ny,1,1,1,1,1,0,0,1
115,2019-07-04 05:15:00,2019-07-05 02:15:00,1,1420.51,1401.46,1452.27,1421.13,timeout,0.05,2.73,0.032,75.0,64,bull,asia,1,1,1,1,0,0,1,1
116,2019-07-05 04:15:00,2019-07-05 15:30:00,1,1419.34,1402.61,1447.24,1402.32,sl,0.06,-102.58,-1.017,75.0,45,bull,asia,0,1,1,1,0,1,1,1
117,2019-07-08 15:30:00,2019-07-09 08:30:00,-1,1403.88,1426.25,1366.61,1394.83,timeout,0.04,35.94,0.405,75.0,64,bear,ny,1,0,1,0,1,1,1,1
118,2019-07-10 03:00:00,2019-07-10 13:00:00,-1,1393.58,1409.16,1367.6,1395.78,opposite,0.06,-13.64,-0.141,75.0,40,bear,asia,1,0,1,1,1,0,1,1
119,2019-07-10 16:00:00,2019-07-11 09:00:00,1,1409.26,1388.93,1443.13,1419.79,timeout,0.05,52.32,0.518,75.0,64,range,ny,1,1,1,1,1,0,0,1
120,2019-07-11 18:15:00,2019-07-12 10:15:00,-1,1411.29,1427.7,1383.94,1411.77,opposite,0.06,-3.32,-0.029,75.0,60,bull,ny,1,1,1,1,1,0,0,1
121,2019-07-12 14:15:00,2019-07-15 02:30:00,1,1408.8,1392.96,1435.21,1415.02,opposite,0.06,36.88,0.392,75.0,45,range,ny,0,1,1,1,1,1,0,1
122,2019-07-15 18:00:00,2019-07-16 11:00:00,-1,1410.07,1424.82,1385.48,1413.03,timeout,0.07,-21.25,-0.201,87.5,64,bear,ny,1,1,1,1,1,0,1,1
123,2019-07-16 15:45:00,2019-07-17 08:45:00,-1,1410.48,1425.18,1385.98,1404.49,timeout,0.07,41.46,0.408,75.0,64,range,ny,1,1,1,1,1,0,0,1
124,2019-07-17 10:45:00,2019-07-17 17:45:00,-1,1403.68,1418.49,1379.0,1418.78,sl,0.07,-106.18,-1.02,75.0,28,bear,london,1,0,1,0,1,1,1,1
125,2019-07-19 16:30:00,2019-07-19 16:45:00,1,1442.04,1423.23,1473.39,1440.59,opposite,0.05,-7.6,-0.077,75.0,1,bull,ny,1,0,1,0,1,1,1,1
126,2019-07-23 15:00:00,2019-07-24 08:00:00,1,1424.58,1410.73,1447.65,1418.6,timeout,0.07,-42.29,-0.431,75.0,64,bear,ny,1,1,1,1,1,0,0,1
127,2019-07-26 22:45:00,2019-07-29 01:45:00,-1,1416.34,1428.69,1395.77,1419.82,opposite,0.08,-28.4,-0.282,87.5,8,bear,off,1,1,1,1,1,0,1,1
128,2019-07-29 04:45:00,2019-07-29 09:30:00,1,1423.08,1410.7,1443.72,1418.18,opposite,0.08,-39.83,-0.396,75.0,19,range,asia,1,1,1,1,1,0,0,1
