signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,r_multiple,initial_risk
b070b78a-9de,SHORT,2019-01-04 10:00:00,2019-01-04 12:45:00,1290.88,1291.09,1293.37,1285.9,49.11370500718863,time_expired,11,-0.21,-0.084,2.49
bb35c6b9-a0e,LONG,2019-01-09 23:00:00,2019-01-10 02:45:00,1292.95,1294.64,1290.03,1298.8,41.28820603664103,time_expired,15,1.69,0.579,2.92
f3ee8a82-782,LONG,2019-01-10 07:45:00,2019-01-10 09:15:00,1295.36,1293.14,1293.14,1299.79,50.08896023293911,invalidated,6,-2.22,-1.0,2.22
2f08755b-cbf,LONG,2019-01-25 16:45:00,2019-01-25 18:00:00,1298.93,1297.93,1295.91,1304.97,41.42857142857143,regime_shifted,5,-1.0,-0.331,3.02
877d90b9-a67,LONG,2019-01-27 23:15:00,2019-01-28 05:00:00,1301.07,1303.37,1298.37,1306.48,40.11290517497395,time_expired,23,2.3,0.852,2.7
0ee83f00-0c5,LONG,2019-01-30 06:45:00,2019-01-30 09:30:00,1314.38,1313.34,1312.6,1317.95,41.42232534164893,time_expired,11,-1.04,-0.584,1.78
76975340-599,LONG,2019-01-30 23:15:00,2019-01-30 23:30:00,1319.95,1319.68,1316.04,1327.78,44.85931931677749,regime_shifted,1,-0.27,-0.069,3.91
5a37f6f9-889,SHORT,2019-02-01 02:15:00,2019-02-01 07:00:00,1318.1,1317.92,1320.15,1314.0,41.87122592708837,time_expired,19,0.18,0.088,2.05
38408837-736,LONG,2019-02-05 04:15:00,2019-02-05 08:00:00,1314.42,1313.11,1313.11,1317.05,40.57017203174545,invalidated,15,-1.31,-1.0,1.31
e397bd18-e8f,LONG,2019-02-07 13:00:00,2019-02-07 13:30:00,1310.05,1307.96,1307.96,1314.22,49.285714285714285,invalidated,2,-2.09,-1.0,2.09
0346892f-831,LONG,2019-02-08 17:00:00,2019-02-08 20:45:00,1314.7,1314.28,1312.69,1318.72,42.95205451889152,time_expired,15,-0.42,-0.209,2.01
7c7341fd-f10,SHORT,2019-02-14 13:00:00,2019-02-14 13:30:00,1304.97,1306.99,1306.99,1300.93,41.848413485328436,invalidated,2,-2.02,-1.0,2.02
c811a9cb-082,LONG,2019-02-15 07:15:00,2019-02-15 10:00:00,1313.9,1316.22,1312.16,1317.38,49.099188239192685,time_expired,11,2.32,1.333,1.74
be43a8f3-a75,LONG,2019-02-15 13:45:00,2019-02-15 15:15:00,1317.38,1315.22,1315.22,1321.7,40.222621011876186,invalidated,6,-2.16,-1.0,2.16
97a8d2a9-563,LONG,2019-02-15 18:15:00,2019-02-17 23:00:00,1318.65,1320.6,1315.78,1324.38,47.34113245366177,time_expired,211,1.95,0.679,2.87
8c139cc2-728,LONG,2019-02-19 20:15:00,2019-02-19 20:30:00,1339.7,1340.09,1336.56,1345.98,63.14648668912331,regime_shifted,1,0.39,0.124,3.14
8993196a-333,LONG,2019-02-19 21:30:00,2019-02-20 00:15:00,1341.0,1339.52,1338.38,1346.23,46.451235099290905,score_decayed,11,-1.48,-0.565,2.62
5e1acfda-088,SHORT,2019-02-21 17:30:00,2019-02-21 19:00:00,1327.94,1324.68,1330.84,1322.15,41.43000475827021,regime_shifted,6,3.26,1.124,2.9
414c20c1-869,SHORT,2019-02-21 20:00:00,2019-02-21 23:45:00,1325.82,1325.79,1328.74,1319.99,41.42857142857143,time_expired,15,0.03,0.01,2.92
05e91a06-fab,SHORT,2019-02-27 17:45:00,2019-02-27 18:00:00,1319.25,1319.33,1322.3,1313.16,41.99384745840203,regime_shifted,1,-0.08,-0.026,3.05
67655861-72a,SHORT,2019-03-05 07:45:00,2019-03-05 10:30:00,1285.01,1284.75,1286.69,1281.64,41.98575821503031,time_expired,11,0.26,0.155,1.68
70911669-275,SHORT,2019-03-05 15:30:00,2019-03-05 18:45:00,1283.81,1286.04,1286.83,1277.77,41.48003772720507,score_decayed,13,-2.23,-0.738,3.02
1dfdacd2-646,LONG,2019-03-13 09:30:00,2019-03-13 12:30:00,1308.06,1306.28,1306.28,1311.62,42.142857142857146,invalidated,12,-1.78,-1.0,1.78
a1fafcc0-9b5,LONG,2019-03-20 23:15:00,2019-03-21 02:00:00,1314.64,1318.38,1311.82,1320.29,49.81325672319742,time_expired,11,3.74,1.326,2.82
b8241563-097,LONG,2019-03-21 05:45:00,2019-03-21 08:30:00,1317.39,1317.91,1315.74,1320.69,50.99847019468965,time_expired,11,0.52,0.315,1.65
529798db-d7f,SHORT,2019-03-28 13:15:00,2019-03-28 13:30:00,1294.39,1291.32,1297.81,1287.54,49.285714285714285,regime_shifted,1,3.07,0.898,3.42
