id,ts_in,ts_out,side,entry,sl,tp,exit_price,exit_reason,lots,pnl_usd,r_realized,score_in,bars_held,regime,session,c_bos,c_choch,c_ob,c_fvg,c_retest,c_rsi_div,c_regime,c_news_ok
1,2019-01-04 19:00:00,2019-01-07 20:00:00,-1,1283.9726043951443,1313.3765702109292,1234.9659947021696,1288.4538878439753,timeout,0.03,-13.65385034649281,-0.15240404906283953,75.0,24,range,ny,1,1,1,1,1,0,0,1
2,2019-01-09 19:00:00,2019-01-10 20:00:00,1,1290.2158597919913,1271.1648436041412,1321.9675534384082,1287.420263197094,timeout,0.05,-14.327982974486167,-0.14674264970076192,75.0,24,range,ny,1,0,1,1,1,1,0,1
3,2019-01-15 18:00:00,2019-01-16 19:00:00,1,1288.0794177347889,1269.193849857203,1319.5553641974318,1293.3824377648361,timeout,0.05,26.16510015023632,0.2807974885595638,75.0,24,range,ny,1,1,1,1,1,0,0,1
4,2019-01-18 15:00:00,2019-01-21 16:00:00,-1,1282.8238860298009,1299.325953828697,1255.3204396983074,1280.0886064305278,timeout,0.06,15.991677595638594,0.16575374871845222,75.0,24,bear,ny,1,1,1,1,0,0,1,1
5,2019-01-23 18:00:00,2019-01-24 19:00:00,-1,1284.7671886367323,1302.1135062009323,1255.8566593630655,1280.4850385937898,timeout,0.06,25.272900257654854,0.246862195799997,87.5,24,bear,ny,1,0,1,1,1,1,1,1
6,2019-01-31 17:00:00,2019-02-01 18:00:00,1,1322.4270798024233,1305.733456614002,1350.2497851164587,1316.2873235011152,timeout,0.06,-37.25853780784875,-0.36779051689429965,75.0,24,bull,ny,1,0,1,1,1,0,1,1
7,2019-02-08 14:00:00,2019-02-11 14:00:00,1,1313.6743865120081,1305.8948679136952,1326.6402508425297,1305.562591752368,sl,0.13,-106.36333187532173,-1.0427116610273583,75.0,23,bull,ny,1,1,0,1,0,1,1,1
8,2019-02-12 03:00:00,2019-02-13 04:00:00,-1,1307.5356585801171,1316.0984226089133,1293.26438519879,1312.4227238721787,timeout,0.12,-59.484783504739276,-0.5707345520239276,75.0,24,bear,asia,1,1,1,0,1,0,1,1
9,2019-02-13 17:00:00,2019-02-13 19:00:00,-1,1314.1045415212984,1322.2088349019539,1300.5973858868729,1311.9463817256105,opposite,0.12,25.05791754825455,0.2662983303194943,75.0,2,range,ny,1,0,1,1,1,1,0,1
10,2019-02-14 04:00:00,2019-02-15 05:00:00,-1,1307.8072368828007,1317.2138378907173,1292.1295685362732,1312.7631664399123,timeout,0.1,-50.25929557111632,-0.5268565715650866,75.0,24,bear,asia,1,1,1,1,0,0,1,1
