signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,pnl_price_raw,r_multiple,initial_risk,spread_cost,slippage_cost,commission
4932cd70-2b9,LONG,2019-01-07 02:00:00,2019-01-07 02:15:00,1.14,1.14,1.14,1.14,40.04766358030982,target_reached,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14f2defd-cc0,LONG,2019-01-07 15:45:00,2019-01-07 18:30:00,1.15,1.147275,1.14,1.15,41.70438402563468,time_expired,11,-0.0027,-0.0027,-0.272,0.01,0.0,0.0,0.0
46b3d5e2-d65,SHORT,2019-01-08 02:00:00,2019-01-08 03:45:00,1.14,1.1438700000000002,1.15,1.14,44.69162211258942,score_decayed,7,-0.0039,-0.0039,-0.387,0.01,0.0,0.0,0.0
5e776486-771,LONG,2019-01-15 02:15:00,2019-01-15 02:30:00,1.15,1.15,1.15,1.15,41.74993324191259,invalidated,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01a06a68-8f8,LONG,2019-01-25 15:45:00,2019-01-25 16:00:00,1.14,1.14,1.14,1.14,42.142857142857146,target_reached,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b5184c76-680,LONG,2019-01-25 19:45:00,2019-01-25 20:00:00,1.14,1.14,1.14,1.14,54.09085094785592,target_reached,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc4276e1-e5f,SHORT,2019-01-28 07:30:00,2019-01-28 07:45:00,1.14,1.14,1.14,1.14,41.425123871280576,invalidated,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e459020e-e8e,LONG,2019-01-29 09:30:00,2019-01-29 11:15:00,1.14,1.14315,1.14,1.15,41.39859745782848,score_decayed,7,0.0032,0.0032,0.0,0.0,0.0,0.0,0.0
fe5871da-2bc,SHORT,2019-01-30 07:15:00,2019-01-30 07:30:00,1.14,1.14,1.14,1.14,44.273803175309524,invalidated,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1bbe2f08-89b,SHORT,2019-02-06 07:15:00,2019-02-06 07:30:00,1.14,1.14,1.14,1.14,41.01603451945576,target_reached,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78a6134e-716,LONG,2019-02-07 05:15:00,2019-02-07 05:30:00,1.14,1.14,1.14,1.14,43.73137721214717,invalidated,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62ec7eb2-c2a,SHORT,2019-02-07 10:30:00,2019-02-07 10:45:00,1.13,1.13,1.13,1.13,42.142857142857146,invalidated,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aeb9b10a-b9d,SHORT,2019-02-11 08:45:00,2019-02-11 09:00:00,1.13,1.13,1.13,1.13,42.01758128252305,invalidated,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
af4a7b64-43a,SHORT,2019-02-19 04:15:00,2019-02-19 04:30:00,1.13,1.13,1.13,1.13,40.62269684120982,target_reached,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8e1c39e6-af4,LONG,2019-02-19 08:45:00,2019-02-19 09:00:00,1.13,1.13,1.13,1.13,42.142857142857146,target_reached,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131f89b2-4b6,LONG,2019-02-19 16:00:00,2019-02-19 18:45:00,1.13,1.134915,1.13,1.14,42.898996770276725,time_expired,11,0.0049,0.0049,0.0,0.0,0.0,0.0,0.0
9f3ad0fe-728,LONG,2019-02-28 11:15:00,2019-02-28 11:30:00,1.14,1.14,1.14,1.14,49.285714285714285,target_reached,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457b9557-443,SHORT,2019-02-28 16:30:00,2019-02-28 19:15:00,1.14,1.138195,1.14,1.13,41.29359695256032,time_expired,11,0.0018,0.0018,0.0,0.0,0.0,0.0,0.0
0cf2add7-2cc,SHORT,2019-03-05 15:30:00,2019-03-05 15:45:00,1.13,1.13,1.13,1.13,49.281151837394376,target_reached,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec782ca7-a83,SHORT,2019-03-07 17:15:00,2019-03-07 17:30:00,1.12,1.12,1.12,1.12,55.341120504403584,invalidated,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1effe776-e6d,SHORT,2019-03-07 18:30:00,2019-03-07 18:45:00,1.12,1.12,1.12,1.12,50.81583947718306,invalidated,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c93805be-74e,LONG,2019-03-08 16:45:00,2019-03-08 19:30:00,1.12,1.1242550000000002,1.12,1.13,40.08360288229584,time_expired,11,0.0043,0.0043,0.0,0.0,0.0,0.0,0.0
10bf979f-1d9,SHORT,2019-03-11 10:30:00,2019-03-11 13:15:00,1.12,1.12521,1.13,1.12,40.979486374165035,time_expired,11,-0.0052,-0.0052,-0.521,0.01,0.0,0.0,0.0
