signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,pnl_price_raw,r_multiple,initial_risk,spread_cost,slippage_cost,commission
f771e56b-539,LONG,2019-01-07 02:00:00,2019-01-07 04:15:00,1.14174,1.142785,1.14091,1.14338,40.04766358030982,score_decayed,9,0.001,0.001,1.259,0.0008,0.0,0.0,0.0
cf20e95d-18e,LONG,2019-01-07 15:45:00,2019-01-07 18:30:00,1.14637,1.147275,1.14503,1.14904,41.70438402563468,time_expired,11,0.0009,0.0009,0.675,0.0013,0.0,0.0,0.0
529e0511-b86,SHORT,2019-01-08 02:00:00,2019-01-08 03:45:00,1.14481,1.1438700000000002,1.14569,1.14303,44.69162211258942,score_decayed,7,0.0009,0.0009,1.068,0.0009,0.0,0.0,0.0
933d338f-708,LONG,2019-01-15 02:15:00,2019-01-15 05:00:00,1.14837,1.148005,1.14772,1.14965,41.74993324191259,time_expired,11,-0.0004,-0.0004,-0.562,0.0006,0.0,0.0,0.0
b23b0c47-138,LONG,2019-01-25 15:45:00,2019-01-25 18:30:00,1.13973,1.1408,1.13834,1.14249,42.142857142857146,time_expired,11,0.0011,0.0011,0.77,0.0014,0.0,0.0,0.0
6443e837-89b,LONG,2019-01-25 19:45:00,2019-01-27 22:00:00,1.14142,1.14021,1.14021,1.14385,54.09085094785592,invalidated,201,-0.0012,-0.0012,-1.0,0.0012,0.0,0.0,0.0
b2cce37c-3d3,SHORT,2019-01-28 07:30:00,2019-01-28 08:15:00,1.14081,1.1393300000000002,1.14158,1.13926,41.425123871280576,score_decayed,3,0.0015,0.0015,1.922,0.0008,0.0,0.0,0.0
4fca277e-02b,LONG,2019-01-29 09:30:00,2019-01-29 11:15:00,1.14441,1.14359,1.14359,1.14607,41.39859745782848,invalidated,7,-0.0008,-0.0008,-1.0,0.0008,0.0,0.0,0.0
bde111cd-4bf,SHORT,2019-01-30 07:15:00,2019-01-30 10:00:00,1.14336,1.142945,1.14415,1.14179,44.273803175309524,time_expired,11,0.0004,0.0004,0.525,0.0008,0.0,0.0,0.0
9be832a5-1ce,SHORT,2019-02-06 07:15:00,2019-02-06 08:15:00,1.13853,1.13908,1.13908,1.13743,41.01603451945576,invalidated,4,-0.0006,-0.0006,-1.0,0.0006,0.0,0.0,0.0
6f9c4591-7e0,LONG,2019-02-07 05:15:00,2019-02-07 07:00:00,1.13615,1.13576,1.13576,1.13693,43.73137721214717,invalidated,7,-0.0004,-0.0004,-1.0,0.0004,0.0,0.0,0.0
6736b8b3-119,SHORT,2019-02-07 10:30:00,2019-02-07 12:45:00,1.13376,1.13444,1.13452,1.13223,42.142857142857146,score_decayed,9,-0.0007,-0.0007,-0.895,0.0008,0.0,0.0,0.0
1eab6b48-1bf,SHORT,2019-02-11 08:45:00,2019-02-11 10:00:00,1.13115,1.12988,1.13179,1.12988,42.01758128252305,target_reached,5,0.0013,0.0013,1.984,0.0006,0.0,0.0,0.0
fff28573-0e0,SHORT,2019-02-19 04:15:00,2019-02-19 05:30:00,1.12941,1.12989,1.12989,1.12843,40.62269684120982,invalidated,5,-0.0005,-0.0005,-1.0,0.0005,0.0,0.0,0.0
ef001554-b4b,LONG,2019-02-19 08:45:00,2019-02-19 09:00:00,1.13219,1.1313,1.1313,1.13397,42.142857142857146,invalidated,1,-0.0009,-0.0009,-1.0,0.0009,0.0,0.0,0.0
cf5090c9-7aa,LONG,2019-02-19 16:00:00,2019-02-19 17:00:00,1.13356,1.1322,1.1322,1.13627,42.898996770276725,invalidated,4,-0.0014,-0.0014,-1.0,0.0014,0.0,0.0,0.0
d8f30344-36f,LONG,2019-02-28 11:15:00,2019-02-28 13:15:00,1.14169,1.14081,1.14081,1.14347,49.285714285714285,invalidated,8,-0.0009,-0.0009,-1.0,0.0009,0.0,0.0,0.0
b78f3729-9aa,SHORT,2019-02-28 16:30:00,2019-02-28 19:15:00,1.13823,1.138195,1.13976,1.13518,41.29359695256032,time_expired,11,0.0,0.0,0.023,0.0015,0.0,0.0,0.0
