id,ts_in,ts_out,side,entry,sl,tp,exit_price,exit_reason,lots,pnl_usd,r_realized,bars_held,session,year
1,2019-01-02 18:30:00,2019-01-02 18:45:00,-1,1283.4226043951444,1285.434224766624,1279.399363652185,1285.7281126105993,sl,0.5,-118.77541077274464,-1.1460950824230434,1,ny,2019
2,2019-01-03 10:00:00,2019-01-03 10:15:00,-1,1287.9841402080087,1289.3532198662053,1285.2459808916158,1289.6729566691113,sl,0.72,-126.63478519938239,-1.2335414166675338,1,london,2019
3,2019-01-03 12:30:00,2019-01-03 14:15:00,-1,1287.3905822652112,1288.4999853764314,1285.1717760427707,1288.8475476115952,sl,0.88,-134.37295048180036,-1.3132875973113134,7,london,2019
4,2019-01-03 16:30:00,2019-01-03 20:15:00,1,1289.0361139701993,1287.36910927447,1292.3701233616575,1292.0415169311298,tp,0.58,170.25337173396878,1.8028761218430487,15,ny,2019
5,2019-01-04 10:45:00,2019-01-04 14:45:00,-1,1291.4771886367323,1292.7578858555048,1288.9157941991873,1291.3650385937897,timeout,0.76,3.2034032636399203,0.0875695217407608,16,london,2019
6,2019-01-04 18:30:00,2019-01-04 22:30:00,1,1284.8770798024232,1282.3902102599732,1289.8508188873232,1284.8673235011152,timeout,0.39,-3.1104957510126314,-0.003923125496323605,16,ny,2019
7,2019-01-07 09:45:00,2019-01-07 10:45:00,1,1291.6943865120084,1290.4434532975495,1294.1962529409263,1290.1111771362223,sl,0.78,-128.95033131131228,-1.2656226227640022,4,london,2019
8,2019-01-07 17:00:00,2019-01-07 17:30:00,-1,1290.4656585801172,1291.7832075696988,1287.8305606009537,1288.1032844731324,tp,0.73,167.3433098098916,1.7930066552857307,2,ny,2019
9,2019-01-08 05:45:00,2019-01-08 08:15:00,-1,1283.4345415212983,1284.3740528498713,1281.5555188641526,1284.6304345754818,sl,1.05,-132.91877068926155,-1.2728883812395357,10,asia,2019
10,2019-01-08 15:15:00,2019-01-08 15:30:00,-1,1280.3872368828006,1281.562756229529,1278.0361981893438,1281.8759226694413,sl,0.82,-127.81223450453284,-1.2664068786139913,1,ny,2019
