all_gates_passed,arms_started,asset,cell_id,confirm,enter,exit,expectancy_r,gate_status,losses,max_drawdown_r,profit_factor,score_max,sharpe_annualised,sharpe_per_trade,status,summary_path,total_trades,trades_path,win_rate,wins
False,69,xau_m15,xau_m15_E55_X35_C1,1,55,35,-0.105,GATE_ERROR: No module named 'src',2,8.025,0.542,70.83,-1.884,-0.252,OK,reports\sweep\xau_m15_E55_X35_C1\summary.json,69,reports\sweep\xau_m15_E55_X35_C1\trades.csv,0.0,0
False,74,xau_m15,xau_m15_E55_X35_C2,2,55,35,-0.246,GATE_ERROR: No module named 'src',0,3.887,0.24,70.83,-2.413,-0.632,OK,reports\sweep\xau_m15_E55_X35_C2\summary.json,18,reports\sweep\xau_m15_E55_X35_C2\trades.csv,0.0,0
False,69,xau_m15,xau_m15_E55_X40_C1,1,55,40,-0.105,GATE_ERROR: No module named 'src',2,8.025,0.542,70.83,-1.884,-0.252,OK,reports\sweep\xau_m15_E55_X40_C1\summary.json,69,reports\sweep\xau_m15_E55_X40_C1\trades.csv,0.0,0
False,74,xau_m15,xau_m15_E55_X40_C2,2,55,40,-0.246,GATE_ERROR: No module named 'src',0,3.887,0.24,70.83,-2.413,-0.632,OK,reports\sweep\xau_m15_E55_X40_C2\summary.json,18,reports\sweep\xau_m15_E55_X40_C2\trades.csv,0.0,0
False,70,xau_m15,xau_m15_E55_X45_C1,1,55,45,-0.119,GATE_ERROR: No module named 'src',2,8.886,0.489,70.83,-2.221,-0.295,OK,reports\sweep\xau_m15_E55_X45_C1\summary.json,70,reports\sweep\xau_m15_E55_X45_C1\trades.csv,0.0,0
False,74,xau_m15,xau_m15_E55_X45_C2,2,55,45,-0.246,GATE_ERROR: No module named 'src',0,3.887,0.24,70.83,-2.413,-0.632,OK,reports\sweep\xau_m15_E55_X45_C2\summary.json,18,reports\sweep\xau_m15_E55_X45_C2\trades.csv,0.0,0
False,22,xau_m15,xau_m15_E60_X35_C1,1,60,35,-0.101,GATE_ERROR: No module named 'src',0,2.982,0.603,70.83,-0.941,-0.223,OK,reports\sweep\xau_m15_E60_X35_C1\summary.json,22,reports\sweep\xau_m15_E60_X35_C1\trades.csv,0.0,0
False,25,xau_m15,xau_m15_E60_X35_C2,2,60,35,-0.347,GATE_ERROR: No module named 'src',0,0.224,0.0,70.83,-3.596,-2.825,OK,reports\sweep\xau_m15_E60_X35_C2\summary.json,2,reports\sweep\xau_m15_E60_X35_C2\trades.csv,0.0,0
False,22,xau_m15,xau_m15_E60_X40_C1,1,60,40,-0.101,GATE_ERROR: No module named 'src',0,2.982,0.603,70.83,-0.941,-0.223,OK,reports\sweep\xau_m15_E60_X40_C1\summary.json,22,reports\sweep\xau_m15_E60_X40_C1\trades.csv,0.0,0
False,25,xau_m15,xau_m15_E60_X40_C2,2,60,40,-0.347,GATE_ERROR: No module named 'src',0,0.224,0.0,70.83,-3.596,-2.825,OK,reports\sweep\xau_m15_E60_X40_C2\summary.json,2,reports\sweep\xau_m15_E60_X40_C2\trades.csv,0.0,0
